2025-12-19 21:59:22,753 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:22,753 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:29,585 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:29,586 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:36,278 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:36,278 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:43,025 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:43,027 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:50,683 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:50,684 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:59,138 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:59,139 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:06,260 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:06,261 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:13,611 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:13,612 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:22,105 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:22,106 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:29,063 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:29,064 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:35,868 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:35,869 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:45,126 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 22:00:45,130 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 22:00:53,356 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
